Time,Greedy,INMA,No Charge
5530,7.17391065217394,3.77038582360965,3.6974804799731
5540,7.1687200866791,3.7631248028748,3.68849343997311
5550,7.16198514118425,3.75609058213994,3.67776479997312
5560,7.15687173568941,3.74980276140508,3.66698735997313
5570,7.1503089975399,3.74406574067022,3.65693391997314
5580,7.13991418762515,3.73617391993537,3.64667167997315
5590,7.12969194762512,3.72977049920051,3.63677383997315
5600,7.11727490762508,3.72447787846565,3.62596079997317
5610,7.10620866762505,3.71676365773079,3.61456575997318
5620,7.09315202762501,3.71084903699593,3.60205551997319
5630,7.08305418762498,3.70501001626107,3.5908780799732
5640,7.07257874762495,3.69853099552622,3.57861663997321
5650,7.06040170762492,3.69009717479136,3.56879879997322
5660,7.04909106762488,3.6830629540565,3.55611535997324
5670,7.03853122762485,3.67598873332165,3.54518671997325
5680,7.02628298762482,3.66924331258679,3.53499127997326
5690,7.01439914762478,3.66130269185193,3.52272543997327
5700,7.00300410762475,3.65489047111708,3.51158799997328
5710,6.99131586762471,3.64599465038222,3.49987295997329
5720,6.97988082762468,3.63930682964736,3.4908459199733
5730,6.96948978762465,3.63124620891251,3.48016607997331
5740,6.95748154762462,3.62558038817765,3.46823343997332
5750,6.94695687907512,3.61879056744279,3.45799799997333
5760,6.9363663535804,3.61113434670793,3.44548335997334
5770,6.9272330280857,3.60591732597307,3.43434151997336
5780,6.91723330259098,3.59871870523822,3.42142687997337
5790,6.90715357709627,3.59301728450336,3.40886783997338
5800,6.8978655087005,3.5852498637685,3.3968995999734
5810,6.88631046870046,3.57916644303364,3.3867841599734
5820,6.87727462870044,3.57267422229879,3.37575791997341
5830,6.86534198870041,3.56602200156393,3.36349647997343
5840,6.85328054870037,3.55849458082907,3.35148823997344
5850,6.84109910870033,3.55005636009422,3.33877799997345
5860,6.8295172687003,3.54484813935936,3.32752055997347
5870,6.81699382870026,3.5378583186245,3.31658751997348
5880,6.80577198870023,3.52916689788964,3.30449487997349
5890,6.7943813487002,3.52175947715479,3.2924998399735
5900,6.78329710870016,3.51498285641993,3.27870999997352
5910,6.77203086870013,3.50675343568508,3.26938975997353
5920,6.75805902870008,3.49884841495022,3.25828351997354
5930,6.74758798870006,3.49135659421536,3.24737727997355
5940,6.73487774870002,3.4852331734805,3.23603103997356
5950,6.72406910869999,3.47809655274565,3.22700839997357
5960,6.71324726869996,3.47106673201079,3.21528015997358
5970,6.70370526403484,3.46417011127593,3.20343191997359
5980,6.69388993165611,3.45622949054108,3.1918724799736
5990,6.68432779927738,3.44854206980622,3.18180583997361
6000,6.67533006689865,3.44092144907137,3.17079719997362
6010,6.66662113451993,3.43550002833651,3.15919335997363
6020,6.6568726021412,3.42929660760165,3.14717631997365
6030,6.64666206976246,3.42185798686679,3.13582567997366
6040,6.63844633738374,3.41582776613193,3.12397743997367
6050,6.62925300500501,3.40892234539707,3.11247119997368
6060,6.62009967262629,3.40176812466222,3.10187135997369
6070,6.61063994024756,3.39407630392736,3.0893611199737
6080,6.60159340786883,3.3871664831925,3.07751727997372
6090,6.5920312754901,3.38121626245765,3.06600223997373
6100,6.58415314311138,3.37393764172279,3.05333639997374
6110,6.57443101073265,3.36831182098793,3.03888015997376
6120,6.56658847835393,3.36066880025307,3.02770271997377
6130,6.5572575459752,3.35282137951822,3.01628087997378
6140,6.54731341359647,3.34517395878336,3.0044814399738
6150,6.53691168121773,3.33682453804851,2.99188239997381
6160,6.52799394883901,3.32818191731365,2.98116255997382
6170,6.51912501646028,3.3215208965788,2.97061151997383
6180,6.50889648408155,3.31454427584394,2.95806127997384
6190,6.49932115170282,3.30875845510908,2.94709703997386
6200,6.4911186193241,3.30263063437422,2.93467119997387
6210,6.48200088694537,3.29609841363936,2.92287175997388
6220,6.47478475456665,3.28816219290451,2.91156111997389
6230,6.46612902218793,3.28095437216965,2.9001704799739
6240,6.45602048980919,3.27520415143479,2.88948623997391
6250,6.44488115743046,3.26737913069994,2.87846879997393
6260,6.43592782505173,3.25943850996508,2.86633615997394
6270,6.425934892673,3.25369708923022,2.85502991997395
6280,6.41790116029428,3.24789806849536,2.84416807997396
6290,6.41036062791556,3.24002864776051,2.83263983997397
6300,6.40118969553683,3.23338522702565,2.81938759997398
6310,6.39254276315811,3.22573340629079,2.808178959974
6320,6.38265623077937,3.21933438555594,2.79454471997401
6330,6.37522689840066,3.21305096482108,2.78311847997402
6340,6.36470102144915,3.20726514408622,2.77251423997403
6350,6.35272838144911,3.19828932335136,2.76066159997405
6360,6.34087134144907,3.1928279026165,2.74910215997406
6370,6.32952950144904,3.18433648188165,2.73733831997407
6380,6.317525661449,3.17894626114679,2.72599647997408
6390,6.30634822144897,3.17144564041193,2.71477463997409
6400,6.29552198144894,3.16457141967707,2.7035351999741
6410,6.28461574144891,3.15873679894221,2.69250895997411
6420,6.27429150144889,3.15357737820735,2.67987871997413
6430,6.26145246144885,3.14858235747249,2.66822167997414
6440,6.24951542144881,3.14059733673764,2.65669343997415
6450,6.23986638144879,3.13266111600278,2.64536039997416
6460,6.22979094144876,3.12546689526792,2.63299215997417
6470,6.21836910144873,3.11872147453307,2.62201911997419
6480,6.20701406144869,3.11137605379821,2.6109972799742
6490,6.19601317149257,3.10450183306335,2.60023743997421
6500,6.18516663155526,3.0967744123285,2.58975759997422
6510,6.17442209161796,3.09027779159364,2.57869135997423
6520,6.16603235168066,3.08429197085878,2.56866471997424
6530,6.15626101174336,3.07780855012392,2.55785167997425
6540,6.14736927180606,3.07151192938906,2.54553703997426
6550,6.13837553186877,3.06328250865421,2.53264919997427
6560,6.12847979193147,3.05675908791935,2.52062775997428
6570,6.11801525199416,3.0496936671845,2.5098367199743
6580,6.10730631205685,3.04564504644963,2.5002720799743
6590,6.09815257211956,3.03994362571477,2.49116943997431
6600,6.08819003218225,3.03414460497991,2.47841479997433
6610,6.0781556421885,3.02770118424506,2.46537135997434
6620,6.06700940218847,3.0198317635102,2.45438071997435
6630,6.05541436218843,3.01284634277534,2.44179047997436
6640,6.0442325221884,3.00556332204049,2.43130623997437
6650,6.03333068218837,2.99907550130563,2.42102639997438
6660,6.02202444218834,2.99222768057077,2.40934255997439
6670,6.01137580218831,2.98349625983592,2.3989383199744
6680,6.00047836218828,2.97779043910106,2.38726327997442
6690,5.99028732218825,2.9705518183662,2.37583263997443
6700,5.97844348218822,2.96489039763134,2.36559719997444
6710,5.96658644218818,2.95910017689648,2.35330455997445
6720,5.95610660218816,2.95232795616162,2.34225151997446
6730,5.94438716218812,2.94551133542677,2.33106967997447
6740,5.93238772218808,2.93922351469191,2.32046983997448
6750,5.92058828218805,2.93230489395705,2.3087991999745
6760,5.90949084218802,2.92511507322219,2.29753295997451
6770,5.89843340218799,2.91920925248734,2.28486271997452
6780,5.88634076218795,2.91085983175248,2.27389407997453
6790,5.87506969363845,2.90409681101762,2.26295223997454
6800,5.86466331089108,2.89702699028276,2.25181919997455
6810,5.85340147089104,2.89024156954791,2.24013535997457
6820,5.84247283089101,2.88325614881305,2.22850031997458
6830,5.82918059089097,2.87627072807819,2.21760287997459
6840,5.81750555089094,2.86968970734333,2.2074918399746
6850,5.8058885108909,2.86257548660848,2.19726079997461
6860,5.79627067089088,2.85558126587362,2.18706975997462
6870,5.78451123089084,2.84821824513876,2.17585231997463
6880,5.77360939089081,2.8430056244039,2.16562127997464
6890,5.76037035089077,2.83771300366904,2.15389743997465
6900,5.74719371089073,2.83072318293418,2.14220919997466
6910,5.73575427089069,2.82512416219932,2.13106735997467
6920,5.72509683089067,2.81860074146447,2.12008111997468
6930,5.71378179089063,2.81157092072961,2.10806407997469
6940,5.70119595089059,2.80482549999475,2.0965314399747
6950,5.69114251089057,2.7969648792599,2.08461199997472
6960,5.68082267089054,2.79022385852504,2.07380335997473
6970,5.67094533851181,2.78290523779018,2.06283911997474
6980,5.66336920613309,2.77604861705532,2.05263487997475
6990,5.65417147375436,2.76873879632047,2.04136863997476
7000,5.64513374137564,2.76200217558561,2.03246159997477
7010,5.63609600899691,2.75488795485075,2.02098215997478
7020,5.62702267661818,2.74909333411589,2.01038671997479
7030,5.61735854423945,2.74094391338104,2.0002800799748
7040,5.60873841186073,2.73519809264618,1.9881162399748
7050,5.60086027948201,2.72880347191132,1.9762323999748
7060,5.59260894710329,2.72210685117646,1.9637709599748
7070,5.58362001472456,2.71533463044161,1.9551883199748
7080,5.57420908234583,2.70801160970675,1.9442108799748
7090,5.5650469499671,2.7001241889719,1.9329134399748
7100,5.55555161758837,2.69404516823704,1.9204919999748
7110,5.54791788520965,2.68738854750218,1.9083949599748
7120,5.53900015283093,2.67982112676732,1.8973775199748
7130,5.53187722045221,2.67287130603247,1.88640447997481
7140,5.52242628807348,2.66778308529761,1.87530703997481
7150,5.51377935569476,2.66134406456275,1.86496479997481
7160,5.50491042331603,2.65418544382789,1.85228575997481
7170,5.49637469093731,2.64720002309303,1.84006431997481
7180,5.48720815855858,2.63951260235818,1.82866927997481
7190,5.47899682617986,2.63248278162332,1.81802063997481
7200,5.46657349380111,2.62404016088847,1.80646999997481
7210,5.45734016142238,2.61771674015361,1.79484815997481
7220,5.44698282904365,2.61138891941875,1.78454151997481
7230,5.43932229666493,2.60336389868389,1.77422607997481
7240,5.4297425642862,2.59762247794903,1.76369743997481
7250,5.41880323190746,2.59124585721418,1.75227119997481
7260,5.41122269952875,2.58467363647932,1.74124935997482
7270,5.40318016715002,2.57784821574446,1.73026751997482
7280,5.39269843477129,2.56912559500961,1.71912127997482
7290,5.38357190239256,2.56308657427475,1.70821943997482
7300,5.37477417001384,2.55596355353989,1.69616679997482
7310,5.36669163763512,2.55030653280503,1.68498055997482
7320,5.35682310525638,2.54443191207017,1.67310551997482
7330,5.34786097287766,2.53830409133531,1.66200807997482
7340,5.33774804049892,2.53048347060046,1.64966663997482
7350,5.33015430812021,2.5237156498656,1.63823599997482
7360,5.32194297574148,2.51627702913074,1.62751175997482
7370,5.31290084336276,2.50834080839589,1.61594791997482
7380,5.30345431098403,2.50172418766103,1.60410407997482
7390,5.2937145786053,2.49377916692617,1.59315783997483
7400,5.28336719241592,2.48777134619131,1.58023439997483
7410,5.27139015241588,2.48020392545646,1.56945255997483
7420,5.25941311241585,2.4726765047216,1.55859951997483
7430,5.24840007241581,2.46659748398674,1.54525407997483
7440,5.23726703241578,2.45878566325189,1.53253503997483
7450,5.22538319241575,2.45407944251703,1.52197519997483
7460,5.2123085524157,2.44721842178217,1.50934495997483
7470,5.20082911241567,2.43985100104731,1.49720791997483
7480,5.18832767241563,2.43319878031245,1.48551967997483
7490,5.1770658324156,2.4275729595776,1.47339143997483
7500,5.16628839241557,2.42032993884274,1.46212519997483
7510,5.15373815241553,2.41296691810788,1.45164535997483
7520,5.1431783124155,2.40566589737303,1.44042351997484
7530,5.13105887241546,2.39818727663817,1.42885967997484
7540,5.11879743241543,2.39157945590331,1.41680263997484
7550,5.1079653424593,2.38501603516846,1.40548759997484
7560,5.09907800252201,2.3772086144336,1.39326175997484
7570,5.09027506258471,2.37220479369874,1.38145351997484
7580,5.0798017226474,2.36487737296388,1.36962287997484
7590,5.0697059827101,2.35900715222902,1.35869423997484
7600,5.0592858427728,2.35118653149417,1.34722359997484
7610,5.04896810283549,2.34601831075931,1.33619735997484
7620,5.03820596289819,2.33890849002445,1.32422911997484
7630,5.02732822296088,2.33083906928959,1.31296287997484
7640,5.01656168302357,2.32364484855474,1.30239423997484
7650,5.00699034308627,2.31653062781988,1.29270519997485
7660,4.99606820314896,2.30990520708502,1.28127455997485
7670,4.98605246321166,2.30299098635016,1.27016831997485
7680,4.97587232327436,2.29513036561531,1.25728047997485
7690,4.96362533330568,2.28859814488045,1.24535223997485
7700,4.95239469330565,2.28271912414559,1.23415719997485
7710,4.94109285330562,2.27489410341073,1.22160255997485
7720,4.93012421330559,2.26815748267588,1.20991871997485
7730,4.91930237330556,2.26129646194102,1.19863927997485
7740,4.90811173330552,2.25471984120616,1.18583143997485
7750,4.89568149330549,2.2473124204713,1.17592479997485
7760,4.88342885330545,2.24086019973645,1.16461855997485
7770,4.87166061330541,2.23246197900159,1.15298791997486
7780,4.85861717330537,2.22563655826673,1.14171287997486
7790,4.84815053330534,2.21931313753188,1.12912263997486
7800,4.8356002933053,2.21303411679702,1.11623479997486
7810,4.82448525330527,2.20610629606216,1.10596375997486
7820,4.81473861330525,2.1986500753273,1.09378231997486
7830,4.80156197330521,2.19129145459245,1.08115647997486
7840,4.79070453330518,2.18566563385759,1.06842863997486
7850,4.77772789330513,2.17771621312273,1.05687799997486
7860,4.76506205330509,2.17126399238787,1.04510975997486
7870,4.75304941330506,2.16435417165302,1.03309271997486
7880,4.74487697345876,2.15951915091815,1.02287047997486
7890,4.73537484796405,2.1527781301833,1.01325263997486
7900,4.72562392246934,2.14607710944844,1.00173319997486
7910,4.71710819697463,2.13975368871358,0.988476559974852
7920,4.70711727147992,2.13289266797872,0.977707919974841
7930,4.6962999459852,2.12669364724387,0.966726079974829
7940,4.68573087743571,2.11950382650901,0.954473439974816
7950,4.67217663743566,2.11234520577415,0.943922399974805
7960,4.66042599743563,2.10584858503929,0.933620159974794
7970,4.64825775743559,2.09729476430444,0.921723119974782
7980,4.63802231743556,2.08926534356958,0.91090127997477
7990,4.62571647743552,2.08281312283473,0.90079463997476
8000,4.6154986374355,2.07381050209987,0.889523999974748
8010,4.60480999743547,2.06831348136501,0.878248959974736
8020,4.59357495743544,2.06045726063016,0.867733519974725
8030,4.5806515174354,2.0536674398953,0.856551679974713
8040,4.56954967743536,2.04721081916044,0.844947839974701
8050,4.55741703743533,2.03994539842558,0.83434359997469
8060,4.54607959743529,2.03377757769073,0.822290959974677
8070,4.53319615743525,2.02629015695587,0.809571919974664
8080,4.52304071743523,2.01958033622101,0.797554879974651
8090,4.5123520774352,2.01259491548615,0.785497839974638
8100,4.50167060048369,2.00635149475129,0.776395199974629
8110,4.49200646810496,1.99923727401645,0.766199759974618
8120,4.48508353572624,1.99258945328159,0.755177919974607
8130,4.47605020334751,1.98411563254672,0.742343279974593
8140,4.46755447096879,1.97812541181185,0.73001503997458
8150,4.45811233859006,1.97134439107699,0.719193199974569
8160,4.44965660621134,1.96519417034212,0.71058815997456
8170,4.44084567383261,1.95730234960726,0.70089471997455
8180,4.43083954145388,1.95040572887239,0.689637279974538
8190,4.42238820907516,1.94370470813752,0.679281839974527
8200,4.41264847669643,1.93745248740266,0.666807199974514
8210,4.4034107443177,1.93161786666779,0.657264959974504
8220,4.39260021193896,1.92491684593293,0.646589519974492
8230,4.38335367956023,1.91710502519806,0.63514127997448
8240,4.37119274718149,1.9107904044632,0.622799839974467
8250,4.36253701480277,1.90526658372833,0.612079999974456
8260,4.35392128242404,1.90243639510265,0.600653759974444
8270,4.34476355004531,1.91765353491374,0.589378719974432
8280,4.33505061766658,1.93187107472483,0.578445679974421
8290,4.32461328528785,1.94752381453592,0.566850639974408
8300,4.31525115290912,1.96173695434701,0.554344799974395
8310,4.30500942053039,1.9780960941581,0.543162959974383
8320,4.29419448815165,1.99166963396919,0.534171519974374
8330,4.28449915577292,2.00823317378028,0.522869679974362
8340,4.27578142339419,2.02516991359138,0.51131023997435
8350,4.26633489101546,2.04186665340248,0.500963599974339
8360,4.25763475863674,2.05765699321358,0.490328159974341
8370,4.24764622625801,2.07215013302468,0.479315119974343
8380,4.23704449387927,2.07175724494912,0.466227279974347
8390,4.22834436150055,2.06074860494914,0.45472103997435
8400,4.21785822912181,2.04906476494915,0.442557199974353
8410,4.20746969674308,2.03758972494916,0.430211359974356
8420,4.19635276436434,2.02636348494917,0.418736319974358
8430,4.18615983198561,2.01601684494918,0.405941679974362
8440,4.17571809960687,2.00429300494919,0.394519839974364
8450,4.16574276722814,1.99563619172397,0.382022799974368
8460,4.15734463484942,1.98951717098911,0.370010159974371
8470,4.14676530247068,1.98228295025424,0.357584319974374
8480,4.13702557009195,1.97599952951938,0.345780479974377
8490,4.12648623771321,1.96980490878451,0.335500639974379
8500,4.11711090533449,1.96480988804965,0.322754799974382
8510,4.10791317295576,1.95744246731478,0.311732959974385
8520,4.09941744057703,1.94817784657991,0.301284319974388
8530,4.0881849081983,1.94148562584505,0.289142879974391
8540,4.07893397581957,1.93537100511018,0.276925839974394
8550,4.06916744344084,1.92789238437532,0.266041599974396
8560,4.06038291106211,1.92192896364045,0.253402559974399
8570,4.05089637868338,1.91386394290559,0.241061119974398
8580,4.04185864630465,1.90728292217072,0.231154479974396
8590,4.03258091392593,1.89970670143585,0.221505439974394
8600,4.0233831815472,1.89110848070099,0.210243599974392
